batch,attack,seed,round,cid,principal_id,attack_active,valid,coherence,trainable_residual_norm,sketch_norm,loo_residual_ratio,aggregation_weight,existing_cumulative_q
clean_seed103,none,103,8,13,13,False,True,0.5325569420663914,3.074817109038611,0.9999999999999999,1.0143789510310939,0.1,1.0
clean_seed103,none,103,8,17,17,False,False,,3.0535241959655375,1.0000000000000002,1.007354441259775,0.1,1.0
clean_seed103,none,103,8,3,3,False,True,0.4763397306576792,2.9936980560005177,0.9999999999999999,0.9813567709532529,0.1,1.0
clean_seed103,none,103,8,5,5,False,False,,3.08868746216945,1.0,1.0189547660341822,0.1,1.0
clean_seed103,none,103,8,8,8,False,True,0.5389370967864363,3.009569835543368,1.0,0.9865596598318536,0.1,1.0
clean_seed103,none,103,8,9,9,False,False,,3.0905456886503164,0.9999999999999999,1.019567793008339,0.1,1.0
clean_seed103,none,103,9,0,0,False,True,0.5376974595196131,3.0017863205597934,1.0,0.9780971250255066,0.1,1.0
clean_seed103,none,103,9,10,10,False,True,0.5134159516812975,3.059509197635458,1.0,0.9969054524967902,0.1,1.0
clean_seed103,none,103,9,12,12,False,True,0.49699960664395804,3.112041145406154,1.0,1.017008134445472,0.1,1.0
clean_seed103,none,103,9,13,13,False,True,0.5390466256195403,3.083603473013145,0.9999999999999999,1.0077147662677801,0.1,1.0
clean_seed103,none,103,9,15,15,False,False,,3.0599963166499227,1.0,0.9970641745564951,0.1,1.0
clean_seed103,none,103,9,16,16,False,False,,3.0690063836774018,0.9999999999999999,1.002944469893135,0.1,1.0
clean_seed103,none,103,9,19,19,False,True,0.4801343587814647,3.0494027731238726,0.9999999999999999,0.9936123917311507,0.1,1.0
clean_seed103,none,103,9,2,2,False,True,0.4995621289123988,3.0384072522009267,0.9999999999999999,0.9900296292509467,0.1,1.0
clean_seed103,none,103,9,3,3,False,True,0.5210394081908635,3.0712697603667127,1.0,1.0036841363682203,0.1,1.0
clean_seed103,none,103,9,5,5,False,True,0.5138585011112274,3.069936883799612,0.9999999999999999,1.0032485552664234,0.1,1.0
clean_seed103,none,103,10,0,0,False,True,0.5525914324018866,3.062974194258663,0.9999999999999999,0.980054559638238,0.1,1.0
clean_seed103,none,103,10,1,1,False,True,0.49024645339204315,3.052334981936639,1.0,0.9766503492577837,0.1,1.0
clean_seed103,none,103,10,10,10,False,True,0.5456038426092369,3.052962905061448,1.0,0.9768512647348794,0.1,1.0
clean_seed103,none,103,10,11,11,False,True,0.4870618306508217,3.0953246800407914,1.0,0.9904056886672439,0.1,1.0
clean_seed103,none,103,10,13,13,False,True,0.552181272264249,3.1304976052816658,0.9999999999999999,1.0113632425921828,0.1,1.0
clean_seed103,none,103,10,16,16,False,False,,3.125309876002497,1.0,1.0096872538622703,0.1,1.0
clean_seed103,none,103,10,17,17,False,True,0.5310919028575095,3.1547635461346912,0.9999999999999999,1.0192027887985944,0.1,1.0
clean_seed103,none,103,10,5,5,False,True,0.5525861339902524,3.1720958756853377,1.0,1.0248023078611368,0.1,1.0
clean_seed103,none,103,10,8,8,False,True,0.5403780098301574,3.0938168632923233,1.0,0.9899232351479798,0.1,1.0
clean_seed103,none,103,10,9,9,False,True,0.508503799773376,3.1644588181915583,1.0,1.0223350198434937,0.1,1.0
clean_seed103,none,103,11,0,0,False,True,0.5589440401459049,3.0692481761102024,1.0,0.9827255964191555,0.1,1.0
